WASTE CODE GROUP,2021,2023,delta,pct_change,share_2021,share_2023
K157,3263.8605,3092.788,-171.07249999999976,-5.2414158019314785,0.003972649762017937,0.004473213625683254
P075,3483.2651432,2857.1909357,-626.0742074999998,-17.973774081545773,0.004239700943768538,0.004132460881493308
D021,94.8847048,2785.6853393000006,2690.800634500001,2835.8634198965237,0.00011549013811799314,0.004029039693837029
U112,4976.2023378,2686.0671879,-2290.1351499,-46.02174498620727,0.006056848640747443,0.0038849582785548125
U028,4181.2587207999995,2643.651933,-1537.6067877999994,-36.77377771796454,0.005089272798920646,0.003823611527288476
U169,3094.7051586,2477.832,-616.8731585999999,-19.93318028652088,0.0037667601638697395,0.0035837800277788152
U210,14803.0909361,2245.9369231,-12557.154013,-84.8279191636736,0.018017772415342977,0.0032483816048290547
K046,2589.6755,2219.5274999999997,-370.14800000000014,-14.293219362812065,0.0031520568231328144,0.003210184679835374
F032,1784.6165919,2150.5448892,365.92829729999994,20.504588994682198,0.0021721690247192846,0.0031104125795278965
U077,192.1441102,2110.7541091,1918.6099989,998.5265730513138,0.00023387067359624536,0.0030528617031924067
K172,2277.7245,2100.8595,-176.86499999999978,-7.764986502976975,0.0027723616535901036,0.003038550764244464
PSLU,5211.9170609,2060.2245000000003,-3151.6925609,-60.470888620698084,0.006343751845901995,0.0029797788614565465
K049,618.4449999999999,1736.69,1118.2450000000001,180.81559394934072,0.0007527482813898396,0.0025118389529407933
F025,979.7985,1715.424,735.6255,75.07926374657646,0.001192574338839093,0.00248108115093051
K111,1504.375,1567.435,63.059999999999945,4.191773992521808,0.0018310693688457986,0.002267039189033594
D035,1368.6055111,1422.3338165999999,53.728305499999806,3.9257700677250913,0.0016658157902177044,0.002057173983048688
F038,3832.644002,1358.7275001,-2473.9165019,-64.54855970471114,0.004664951912756311,0.0019651778159504836
U003,2500.1824043,1355.2856505,-1144.8967538000002,-45.79252905031734,0.003043129151335919,0.00196019974162781
U031,1709.6058906,1339.5338642,-370.07202640000014,-21.64662794125729,0.0020808687854265073,0.0019374173507539412
PMIX,1966.6961117,1274.6453927,-692.0507190000001,-35.18849276626655,0.0023937894527375197,0.0018435667554775892
U008,793.9598569,1205.7221941999999,411.7623372999999,51.86185847074404,0.0009663784455755937,0.001743880585376091
F024,950.8575,1200.573034,249.71553400000005,26.262140646732036,0.0011573484286745619,0.0017364331646128619
D024,823.9421177,1147.0696218,323.1275041,39.21725776101808,0.0010028717397074598,0.001659049201511095
U122,856.9080361,1104.8261163,247.91808019999996,28.931702091199462,0.0010429966310398137,0.0015979508577516049
P001,352.546379,893.2297321,540.6833531,153.36516989159034,0.00042910635691526504,0.0012919111845025014
D022,824.9969199,864.0712978,39.07437790000006,4.736305913085878,0.0010041556057638693,0.0012497382629785075
F008,758.0968737000001,835.2964096,77.19953589999989,10.183333895471238,0.0009227273545823565,0.001208120078358756
U002,791.1210277,726.2777902,-64.84323749999999,-8.196373908618835,0.0009629231281238246,0.0010504424186700684
U220,803.9759182,708.1627444,-95.81317380000007,-11.917418374236084,0.0009785696233357345,0.0010242419582109498
K116,656.33,703.66,47.32999999999993,7.2113113829933,0.0007988604961226844,0.0010177294725174431
U066,69.19500000000001,703.115,633.92,916.1355589276682,8.422158369906776e-05,0.0010169412188686328
D019,392.498,690.4741715,297.9761715,75.91788276628162,0.0004777339859630999,0.0009986583212739301
U012,386.1828822,586.0886329,199.9057507,51.76452916845521,0.00047004745915679637,0.0008476816576326442
U151,93.0513159,573.9091357,480.85781979999996,516.7662758437142,0.00011325860525153905,0.0008300660005526855
P081,110.6413749,507.724205,397.08283009999997,358.89180739022066,0.0001346685716702115,0.0007343402884048947
U009,329.2144973,490.7805,161.5660027,49.07621141385258,0.0004007076571905262,0.0007098339814496307
U188,2769.773648,461.841083,-2307.932565,-83.32567416353729,0.0033712655989956526,0.0006679778327437608
P094,141.02599999999998,443.2755,302.2495,214.32182718080358,0.0001716516086819095,0.0006411257436757893
D012,25.1177961,438.79949999999997,413.68170389999995,1646.9665660674743,3.057244839326927e-05,0.000634651939396751
U190,393.7101169,412.2093727,18.499255800000014,4.698699628462612,0.0004792093296287752,0.0005961936552379233
U213,179.7941815,407.8670638,228.07288229999997,126.85220422441756,0.0002188387991301052,0.0005899132133394145
K104,238556.128,402.070499,-238154.057501,-99.83145664612732,0.29036165765268473,0.0005815294273684665
U134,660.2017519,395.4846316,-264.7171203,-40.09639773571767,0.0008035730487161935,0.0005720040438663891
K143,884.917902,382.924,-501.99390200000005,-56.72773721329914,0.0010770891993655096,0.0005538371380130595
U019,776.1012674,362.799328,-413.3019394,-53.253609646147574,0.0009446416338070909,0.0005247300808844085
U223,280.1979648,354.177818,73.97985319999998,26.402708974993942,0.00034104655458792746,0.0005122604722316446
U052,360.1614406,336.8938245,-23.267616099999998,-6.4603295847656605,0.0004383751270275268,0.00048726199343826433
U123,370.6350769,322.8024488,-47.83262810000002,-12.905585866311734,0.000451123248080696,0.00046688111580104447
U239,1361.7604332,302.4135263,-1059.3469069,-77.7924575478112,0.001657484215663452,0.0004373918634048247
K177,277.0,300.0,23.0,8.303249097472925,0.0003371541106242036,0.0004339010910883566
U410,177.517,287.755,110.238,62.099967890399235,0.00021606709839594492,0.00041619069488710016
