STATE NAME,WASTE CODE GROUP,2021,2023,delta,pct_change
ARIZONA,F009,1.131,4.9375,3.8064999999999998,336.5605658709107
ARIZONA,F011,61.175,3.5,-57.675,-94.27870862280344
ARIZONA,F019,18.21,10.629999999999999,-7.580000000000002,-41.62548050521692
ARIZONA,F024,0.0,0.0,0.0,
ARIZONA,F032,0.0,0.0,0.0,
ARIZONA,F034,0.0,0.0,0.0,
ARIZONA,F035,0.746,1.792,1.046,140.21447721179626
ARIZONA,F039,0.0,55.839999999999996,55.839999999999996,
ARIZONA,F1_5,151974.72133620002,1692.7689334000002,-150281.95240280003,-98.88615098714001
ARIZONA,F30S,0.0,0.0,0.0,
ARIZONA,F6_9,3.064,18.87,15.806000000000001,515.8616187989556
ARIZONA,FMIX,161.4005199,70.5023638,-90.89815610000001,-56.31837874891505
ARIZONA,ICR,12496.097650000002,4040.3440568,-8455.753593200001,-67.66715361895399
ARIZONA,K001,0.0,0.0,0.0,
ARIZONA,K044,0.7195,5.9885,5.269,732.314107018763
ARIZONA,K045,0.0,5.296,5.296,
ARIZONA,K061,7824.82,7183.957,-640.8629999999994,-8.190130891189822
ARIZONA,KXXX,0.0,0.0,0.0,
ARIZONA,LABP,5.944,4.1289582000000005,-1.8150417999999995,-30.535696500672938
ARIZONA,P001,0.005,0.0045000000000000005,-0.0004999999999999996,-9.999999999999991
ARIZONA,P002,0.0,0.0,0.0,
ARIZONA,P005,0.016,0.0,-0.016,-100.0
ARIZONA,P010,0.0,0.0,0.0,
ARIZONA,P012,0.0655,0.1475,0.08199999999999999,125.19083969465647
ARIZONA,P014,0.005,0.0,-0.005,-100.0
ARIZONA,P022,0.0045,0.0025,-0.0019999999999999996,-44.444444444444436
ARIZONA,P023,0.0,0.0,0.0,
ARIZONA,P029,0.0,0.0195,0.0195,
ARIZONA,P030,0.666,5.559,4.893,734.6846846846846
ARIZONA,P042,0.003,0.0,-0.003,-100.0
ARIZONA,P056,0.034,0.0,-0.034,-100.0
ARIZONA,P068,0.0025,0.0,-0.0025,-100.0
ARIZONA,P075,0.3965,1.1355,0.7389999999999999,186.3808322824716
ARIZONA,P076,0.018,0.0,-0.018,-100.0
ARIZONA,P078,0.0,1.0105,1.0105,
ARIZONA,P087,0.0115,0.002,-0.0095,-82.6086956521739
ARIZONA,P095,0.0,0.004,0.004,
ARIZONA,P096,0.0,0.045,0.045,
ARIZONA,P098,1.8704999999999998,0.3235,-1.5469999999999997,-82.70515904838278
ARIZONA,P099,0.0,0.015,0.015,
ARIZONA,P105,0.0175,0.045,0.027499999999999997,157.1428571428571
ARIZONA,P106,0.002,2.1765,2.1745,108725.0
ARIZONA,P108,0.0,0.0,0.0,
ARIZONA,P120,11.34,1.455,-9.885,-87.16931216931216
ARIZONA,P188,0.0,0.0,0.0,
ARIZONA,P198,4.795,10.2635,5.468500000000001,114.04588112617311
ARIZONA,P199,4.1125,0.0,-4.1125,-100.0
ARIZONA,PEST,0.0225,0.0,-0.0225,-100.0
ARIZONA,PMIX,4.79908,0.40199999999999997,-4.39708,-91.62339448394276
ARIZONA,TCMT,1636.2446021,42702.99926990001,41066.75466780001,2509.817579541215
ARIZONA,TCOR Only,13.3875,6.693,-6.6945,-50.005602240896366
ARIZONA,TCORICR,656.5586257,312.7067214,-343.8519043,-52.37185086608177
ARIZONA,U001,0.006999999999999999,0.0015,-0.0055,-78.57142857142857
ARIZONA,U002,1.003,0.595,-0.4079999999999999,-40.67796610169491
ARIZONA,U003,0.1405,0.28200000000000003,0.14150000000000001,100.71174377224199
ARIZONA,U006,0.0,0.045,0.045,
ARIZONA,U007,0.0,0.0,0.0,
ARIZONA,U008,0.0,0.0,0.0,
ARIZONA,U010,0.0,0.0,0.0,
ARIZONA,U019,0.0,0.0,0.0,
ARIZONA,U020,0.0,0.0,0.0,
ARIZONA,U022,0.93,0.0,-0.93,-100.0
ARIZONA,U034,0.0,0.0,0.0,
ARIZONA,U043,0.0735,0.0,-0.0735,-100.0
ARIZONA,U044,0.047,0.05,0.0030000000000000027,6.3829787234042605
ARIZONA,U046,0.0045000000000000005,0.0,-0.0045000000000000005,-100.0
