NAICS,2021,2023,delta,pct_change,share_2021,share_2023
813110,725.76,9.45,-716.31,-98.69791666666666,0.0008811162716851929,1.3561077918721333e-05
45521,0.0,9.1994174,9.1994174,,0.0,1.3201483192406435e-05
48412,0.5800000000000001,9.1951627,8.615162699999999,1485.3728793103444,7.041548687960372e-07,1.319537755026667e-05
115116,16.0875,9.174,-6.913499999999999,-42.97435897435897,1.9531192158200423e-05,1.3165008341412645e-05
238190,9.1511822,9.1244114,-0.02677079999999954,-0.29253925246947377,1.1110085347189016e-05,1.3093846979668699e-05
513210,0.0,9.0585,9.0585,,0.0,1.2999261833517165e-05
423320,0.0,8.85,8.85,,0.0,1.2700057098485057e-05
49312,0.0,8.8385,8.8385,,0.0,1.268355419943053e-05
92412,0.0,8.811093300000001,8.811093300000001,,0.0,1.264422463390725e-05
33311,20.1926543,8.521,-11.6716543,-57.80148625631648,2.4515096274586612e-05,1.2227930682055502e-05
42461,0.0,8.172582499999999,8.172582499999999,,0.0,1.1727939479331046e-05
11299,21.9792084,8.1629,-13.8163084,-62.86080985519023,2.6684080357142683e-05,1.1714044755844484e-05
33513,0.0,8.1075,8.1075,,0.0,1.1634543833442667e-05
44414,0.0,8.0851116,8.0851116,,0.0,1.160241570255637e-05
111336,31.9995,8.0316931,-23.9678069,-74.90056688385755,3.884931676558412e-05,1.1525758301413387e-05
11511,0.0,8.0232694,8.0232694,,0.0,1.1513669999607679e-05
812990,0.0,7.8445,7.8445,,0.0,1.1257129707239101e-05
485999,0.2,7.7706681,7.5706681,3785.3340499999995,2.428120237227714e-07,1.1151178368743097e-05
334210,1.52,7.7456025,6.225602500000001,409.57911184210525,1.8453713802930627e-06,1.1115208362956906e-05
493130,0.0,7.732355,7.732355,,0.0,1.1096197740763439e-05
31152,0.0,7.7030028,7.7030028,,0.0,1.105407631523054e-05
33592,10.0915,7.6875,-2.404,-23.822028439776048,1.2251687686991738e-05,1.1031829259277276e-05
33612,326.11945000000003,7.641,-318.47845,-97.6569934727904,0.0003959286181492859,1.0965100145708963e-05
311520,14.75743,7.2185197,-7.5389102999999995,-51.08552302128487,1.7916407216235693e-05,1.0358826254976185e-05
32221,121.111,7.1834999999999996,-113.92750000000001,-94.06866428317825,0.00014703603502544285,1.0308571770278803e-05
62441,0.0,7.130000000000001,7.130000000000001,,0.0,1.0231797413807737e-05
51711,8.0,7.0,-1.0,-12.5,9.712480948910856e-06,1.0045242902756543e-05
42381,21.9605,6.898874199999999,-15.061625800000002,-68.5850768425127,2.666136723481961e-05,9.90012387065146e-06
541340,0.0,6.858,6.858,,0.0,9.841467975300624e-06
212321,0.0,6.702,6.702,,0.0,9.617602562039193e-06
71393,7.9062513999999995,6.7,-1.2062513999999993,-15.256932001934562,9.598664512474972e-06,9.614732492638406e-06
